Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
640 - XXX,Water Access & Trail Extension for Recreation,"New Hampshire Technical Institute - Concord, NH",MERRIMACK,NH,108514.99,2003,2008,Development
628 - XXX,Odiorne Point Playground Improvements,State of New Hampshire - DRED,ROCKINGHAM,NH,35646.50,2003,2005,Development
638 - XXX,West Road Recreation Facility Phase II,Town of Londonderry,ROCKINGHAM,NH,109910.00,2003,2006,Development
641 - XXX,Cammett/Riverside Park,Town of Raymond,ROCKINGHAM,NH,27500.00,2003,2006,Development
630 - XXX,Riverside Community Park,City of Lebanon,SULLIVAN,NH,62247.59,2003,2007,Development
644 - XXX,Riverfront Park,Town of Tilton,BELKNAP,NH,110000.00,2004,2009,Development
642 - XXX,Lincoln-Woodstock Community Ball Field,Town of Lincoln,GRAFTON,NH,108746.98,2004,2008,Development
646 - XXX,Manter Brook Parcel,Town of Derry,HILLSBOROUGH,NH,75322.51,2004,2008,Acquisition
645 - XXX,Fishersfield Park,Town of Newbury,MERRIMACK,NH,110000.00,2004,2009,Development
643 - XXX,Town Pond and Recreation Area,Town of Candia,ROCKINGHAM,NH,40067.50,2004,2008,Development
647 - XXX,Track and Sports Field,Epping School District SAU14,ROCKINGHAM,NH,110009.90,2004,2009,Development
651 - XXX,Winchester River Recreational Project,Town of Winchester,CHESHIRE,NH,21489.08,2005,2009,Acquisition
655 - XXX,Community Center Recreation Project,Town of Jaffrey,CHESHIRE,NH,40750.00,2005,2009,Development
653 - XXX,Dodge Pond Dam Repair,Town of Lyman,GRAFTON,NH,90175.18,2005,2009,Redevelopment
649 - XXX,Francestown Shattuck Pond Acquisiton,Town of Francestown,HILLSBOROUGH,NH,50000.00,2005,2009,Acquisition
652 - XXX,Dow Strip Renovations,Town of Franconia,MULTI-COUNTY,NH,33127.80,2005,2009,Development
658 - XXX,State Park Improvements Project,State of NH - Dept. of Resources and Economic Dev,MULTI-COUNTY,NH,154920.48,2005,2009,Redevelopment
654 - XXX,Administrative Grant - 2005,State of New Hampshire,PLANNING,NH,45360.00,2005,2005,Planning
648 - XXX,Portsmouth Canoe-Kayak Trail,City of Portsmouth,ROCKINGHAM,NH,25000.00,2005,2009,Development
660 - XXX,Waukewan Beach Bathhouse,Town of Meredith,BELKNAP,NH,22000.00,2006,2009,Development
661 - XXX,Historical & Recreational Riverwalk Car,City of Laconia,BELKNAP,NH,22000.00,2006,2009,Development
659 - XXX,Milot Green Restoration,Town of Alstead,CHESHIRE,NH,20020.00,2006,2009,Redevelopment
